日文,中文,對戰,冒險
あくしゅう,惡臭,以招式給予對手傷害時，有10%的機率使對手出現「畏懼」反應。,排在隊伍最前面時，遭遇野生的Pokemon減為0.5倍。於戰爭金字塔內減為0.75倍。
あついしぼう,厚脂肪,因「火」、「冰」屬性招式而受到的損傷減半。,
あとだし,慢出,使出招式的時機必定為最後。,
あまのじゃく,唱反調,能力變化反轉（能力提升效果變成降低、降低效果變成提升）。,
あめうけざら,雨盤,天氣為「あめ（下雨）」狀態時，每回合結束時可恢復HP最大值的16分之1，且不會受到「あられ（冰雹）」的傷害。,
あめふらし,降雨,出場戰鬥後5回合內，天氣為「あめ（下雨）」狀態。,
ありじごく,沙穴,對手無法逃跑或進行替換，但對手仍可使用「バトンタッチ」（對具有特性「ふゆう」或「飛」系的Pokemon無效）。,
いかく,威嚇,出場戰鬥時，使對手「攻擊」降低一階級。,排在隊伍最前面時，遭遇比自己低5個等級或以上的野生Pokemon機率減為0.5倍。
いかりのつぼ,憤怒穴位,被招式命中要害時，「攻擊」提升到最高階段。,
いしあたま,堅硬腦袋,出招後使對手受傷，自己也會受到反彈而受傷的招式，可使反彈傷害無效。,
いたずらごころ,惡作劇之心,使用變化招式時，先制+1。攻擊對象為「惡」系Pokemon時無效。,
いやしのこころ,治癒之心,每回合結束時，有3分之1的機率治好自己以外同伴的異常狀態。,
いろめがね,有色眼鏡,對於「效果不佳」之適性，可忽視一階級進行攻擊（0.5倍傷害變成1倍、0.25倍變成0.5倍）。,
うるおいボイス,濕潤之聲,所有聲音招式變為「水」屬性招式。,
うるおいボディ,濕潤之軀,天氣為「あめ（下雨）」狀態時，回合結束時可治好異常狀態。,
えんかく,遠隔,自己的招式不需直接攻擊對手。,
おどりこ,舞者,當場上其他Pokemon使用舞蹈招式時，自己將緊隨其後使用相同舞蹈招式。,
おみとおし,察覺,出場戰鬥時，可得知對手攜帶的道具。,
おやこあい,親子愛,所有對單一對手攻擊且只攻擊一次的招式，連續使出兩次，但第二次的招式威力減為4分之1。,
おわりのだいち,終結之地,出場戰鬥後至自己被替換或「瀕死」為止，天氣為「ひざしがとてもつよい（猛暑）」狀態，無法被其他天氣或特性改變。所有「水」屬性招式無效化。,
かいりきバサミ,怪力鉗,「攻擊」不會因對手的招式或特性而被降低。,
かがくのちから,化學之力,複製被擊倒的同伴的特性，變成自己的特性。,
かげふみ,踩影,對手無法逃跑或進行替換（對攜帶「きれいなぬけがら」或「鬼」系Pokemon或無效）。,
かそく,加速,每回合結束時，「速度」提升一階級。,
かたいツメ,硬爪,直接攻擊招式的威力增加1.3倍。,
かたやぶり,破格,可不受對手特性之影響而使出招式。對攻擊後發生效果的特性無效。,
かちき,好勝,因對手的招式或特性等，導致任一項能力降低時，「特攻」提升兩階級。,
かるわざ,輕裝,失去攜帶的道具後，「速度」變成2倍。再次擁有道具時恢復原值。一開始就沒有攜帶道具時無效。,
かわりもの,變身者,出場時變成對手的Pokemon。,
かんそうはだ,乾燥皮膚,受到「火」屬性招式攻擊時的傷害增加為1.25倍。天氣為「ひざしがつよい（晴天）」狀態時，每回合結束時受到HP最大值8分之1的傷害。受到「水」屬性招式攻擊時將回復HP最大值的4分之1。天氣為「あめ（下雨）」狀態時，每回合結束時可恢復HP最大值的8分之1。,
がんじょう,結實,使具有一擊造成「瀕死」狀態的招式無效。HP全滿時將不會被一擊打倒，能夠留下1HP。,
がんじょうあご,強壯之顎,「かみつく」、「ひっさつまえば」、「かみくだく」、「どくどくのキバ」、「かみなりのキバ」、「こおりのキバ」、「ほのおのキバ」、「サイコファング」之威力增加為1.5倍。,
ききかいひ,危險迴避,每場戰鬥只發動一次，自己HP低於2分之1時，自動被替換。,
きけんよち,危險預知,出場戰鬥時，將可得知對手擁有可產生絕佳效果的招式，或是能一擊造成「瀕死」狀態的招式。,
きずなへんげ,牽絆變身,擊倒對手後發動羈絆現象，「みずしゅりけん」威力增加。,
きもったま,膽量,「普」和「格」屬性的招式，變得可以擊中「鬼」系的Pokemon（適性由無效變成普通）。,
きゅうばん,吸盤,即使受到「ふきとばし」、「ほえる」、「ドラゴンテール」等強迫更換對手的招式攻擊也不會受到影響。,排在隊伍最前面時，垂釣時會比較容易釣到Pokemon。
きょううん,超幸運,招式命中要害率提升一階級。,
きょうせい,共生,同伴使用了攜帶的道具後，轉移自己的道具給同伴。,
きんちょうかん,緊張感,對手無法使用「果實」。,
ぎゃくじょう,怒火沖天,被攻擊至HP低於2分之1時，「特攻」提升一階級。,
ぎょぐん,魚群,HP高於4分之1且等級達20時，變成「魚群」形態。HP低於4分之1時，變成「單獨」形態。,
くいしんぼう,貪吃鬼,HP低於2分之1時，提早使用本來會在HP大量減少後才使用的「果實」。,
くさのけがわ,草之毛皮,戰鬥場所為草原或「グラスフィールド」效果持續時，「防禦」提升一階段。,
くだけるよろい,碎裂鎧甲,受到物理招式攻擊時，「防禦」降低一階級，「速度」提升兩階級。,
げきりゅう,激流,HP低於3分之1時，「水」屬性招式的威力增加為1.5倍。,
こんじょう,毅力,陷入異常狀態時，「攻擊」增加為1.5倍，且無視「燒傷」的「攻擊」減半效果。,
さいせいりょく,再生力,退離戰鬥時，可恢復HP最大值的3分之1。,
さめはだ,粗糙皮膚,讓使用直接攻擊招式擊中自己的對手受到對手HP最大值8分之1的損傷。,
しぜんかいふく,自然回復,退離戰鬥時，異常狀態將會解除。,
しめりけ,濕氣,雙方的「じばく」和「だいばくはつ」都會失敗，且特性「ゆうばく」也不會發動。,
しゅうかく,收穫,50%機率恢復已消耗的「果實」。天氣為「ひざしがつよい（晴天）」狀態時，機率增加為100%。,
しょうりのほし,勝利之星,我方場上所有Pokemon命中率增加為1.1倍。,
しろいけむり,白色煙霧,能力不會因對手的招式或特性而被降低。,排在隊伍最前面時，遭遇野生的Pokemon減為0.5倍。
しんりょく,茂盛,HP低於3分之1時，「草」屬性招式的威力增加為1.5倍。,
じきゅうりょく,持久力,受到攻擊時，「防禦」提升一階級。,
じしんかじょう,自信過度,以招式擊倒對手時，「攻擊」提升一階段。,
じゅうなん,柔軟,不會陷入「麻痺」狀態。,
じょおうのいげん,女王的威嚴,自己不會成為對方先制招式的目標。,
じりょく,磁力,非「鬼」系的「鋼」系Pokemon將無法逃跑或進行替換。,排在隊伍最前面時，遭遇「鋼」系的野生Pokemon增加為1.5倍。
すいすい,悠游自如,地形為「電氣」狀態時，「速度」增加為2倍。,
すいほう,水泡,自己受到的「火」屬性招式威力減半。自己的「水」屬性招式威力增加為2倍。不會陷入「燒傷」狀態。,
すてみ,捨身,出招後使對手受傷時，自己也會受到反彈而受傷的招式，威力增加為1.2倍。,
すなおこし,揚沙,出場戰鬥後5回合內，天氣為「すなあらし（沙塵）」狀態。,
すなかき,撥沙,天氣為「すなあらし（沙塵）」狀態時，「速度」增加為2倍。,
すながくれ,沙隱,天氣為「すなあらし（沙塵）」狀態時，對手招式命中率變成0.8倍，且自身也不會受到「すなあらし（沙塵）」造成的傷害。,排在隊伍最前面時，當原野天氣為「すなあらし（沙塵）」時遭遇野生的Pokemon減為0.5倍。
すなのちから,沙之力,天氣為「すなあらし（沙塵）」狀態時，「岩」、「地」、「鋼」屬性招式威力增加為1.3倍。,
すりぬけ,穿透,不受「ひかりのかべ」、「みがわり」、「しんぴのまもり」、「ミラータイプ」之效果影響而使出招式。,
するどいめ,銳利目光,命中率不會被降低，同時無視對手的迴避率。,排在隊伍最前面時，遭遇比自己低5個等級或以上的野生Pokemon機率減為0.5倍。
せいぎのこころ,正義之心,遭到「惡」屬性招式攻擊時，「攻擊」提升一階級。,
せいしんりょく,精神力,不會因對手招式之追加效果而產生「畏懼」反應（「きあいパンチ」除外）。,
せいでんき,靜電,有30%機率使以直接攻擊招式擊中自己的對手陷入「麻痺」狀態。,排在隊伍最前面時，遭遇「電」系的野生Pokemon增加為1.5倍。
ぜったいねむり,絕對睡眠,自己陷入「睡眠」狀態，但可如常攻擊。,
そうしょく,食草,遭到「草」屬性招式攻擊時將不會受到傷害，且「攻擊」提升一階級。,
たいねつ,耐熱,因「火」屬性招式而受到的損傷減半，包括「燒傷」狀態的損傷。,
たんじゅん,單純,能力變化之影響幅度變成2倍。,
だっぴ,蛻皮,每回合結束時，有3分之1的機率治好自己的異常狀態。,
ちからずく,強行,使用具有追加效果的招式時將不會發生追加效果，但威力增加為1.3倍。,
ちからもち,大力士,物理招式的威力增加為2倍。,
ちくでん,蓄電,遭到「電」屬性招式攻擊時將不會受到傷害或效果影響，且HP恢復最大值的4分之1。,
ちどりあし,蹣跚,自己陷入「混亂」狀態時，迴避率提升。,
ちょすい,儲水,遭到「水」屬性招式攻擊時將不會受到傷害或效果影響，且HP恢復最大值的4分之1。,
てきおうりょく,適應力,攻擊之招式與自己屬性相同時，適性影響由1.5倍增加為2倍。,
てつのこぶし,鐵拳,拳系招式威力增加為1.2倍。,
てつのトゲ,鐵刺,讓使用直接攻擊招式擊中自己的對手受到對手HP最大值的8分之1的損傷。,
てんきや,陰晴不定,隨著天氣變化而轉變自己屬性，平時=「普」、「ひざしがつよい（晴天）」=「火」、「あめ（下雨）」=「水」、「あられ（冰雹）」＝「冰」。,
てんねん,純樸,不會受到對手能力變化之影響。,
てんのめぐみ,天恩,招式發動追加效果的機率為2倍。,
でんきエンジン,電氣引擎,遭到「電」屬性招式攻擊時將不會受到傷害，且「速度」提升一階級。,
とうそうしん,鬥爭心,面對同性的對手時，招式威力增加為1.25倍，不同性別時減為0.75倍。無性別時不變。,
とびだすなかみ,飛出的內在物,因對手的攻擊招式而陷入「瀕死」狀態時，使對手受到自己最後餘下HP值的傷害。,
どくしゅ,毒手,使用直接攻擊招式時，有30%機率使對手陷入「中毒」狀態。,
どくのトゲ,毒刺,有30%機率使以直接攻擊招式擊中自己的對手陷入「中毒」狀態。,
どくぼうそう,中毒激升,自己陷入「中毒」狀態時，「攻擊」增加為1.5倍。,
どんかん,遲鈍,不會陷入「迷惑」狀態、或被「挑釁」。,
なまけ,懶惰,每隔一回合休息一次，不能攻擊。,
にげあし,逃跑,除訓練家對戰之外都必定能逃走。,
にげごし,躍躍欲逃,每場戰鬥只發動一次，自己HP低於2分之1時，自動被替換。,
ぬめぬめ,黏滑,以直接攻擊招式擊中自己的對手，「攻擊」降低一階級。,
ねつぼうそう,受熱激升,自己陷入「燒傷」狀態時，「特攻」增加為1.5倍。,
ねんちゃく,黏著,攜帶的道具不會被奪走。,排在隊伍最前面時，垂釣時會比較容易釣到Pokemon。
のろわれボディ,詛咒之軀,受到攻擊時有30%機率使對方處於束縛狀態。,
はがねつかい,鋼能力者,自己使出的「鋼」屬性招式威力增加為1.5倍。,
はじまりのうみ,始源之海,出場戰鬥後至自己被替換或「瀕死」為止，天氣為「つよいあめ（暴雨）」狀態，無法被其他天氣或特性改變。所有「火」屬性招式無效化。,
はっこう,發光,戰鬥中無效。,排在隊伍最前面時，遭遇野生的Pokemon機率增加為2倍。
はとむね,健壯胸肌,「防禦」不會遭到降低。,
はやあし,飛毛腿,自己陷入異常狀態時，「速度」增加為1.6倍。,排在隊伍最前面時，遭遇野生的Pokemon減為0.5倍。
はやおき,早起,自己「睡眠」狀態持續回合減半，小數點捨去（3回合減至1回合、1回合減至0回合）。,
はやてのつばさ,疾風之翼,自己HP全滿時先制使出「飛」屬性招式，先制+1。,
はりきり,活力,「物理」招式威力增加為1.5倍，但命中率降為0.8倍。,排在隊伍最前面時，遭遇高等級的野生Pokemon機率增加為1.5倍。
はりこみ,蹲守,攻擊替換入場的Pokemon時，傷害增加為2倍。,
ばけのかわ,畫皮,每場戰鬥只發動一次，自己受到的傷害無效化。因全場效果、天氣或狀態所造成的傷害不會破壞偽裝（因「混亂」而造成的傷害除外）。,
ひでり,日照,出場戰鬥後5回合內，天氣為「ひざしがつよい（晴天）」狀態。,
ひとでなし,不仁不義,攻擊已陷入「中毒」的對手時，必定命中要害。,
ひらいしん,避雷針,「電」屬性的招式將全部以自己為目標。遭到「電」屬性招式攻擊時將不會受到傷害，且「地」系以外Pokemon「特攻」提升一階級。,
びびり,膽怯,遭到「蟲」、「惡」、「鬼」屬性招式攻擊時，「速度」提升一階級。,
ふくがん,複眼,命中率增加為1.3倍。,排在隊伍最前面時，將會比較容易遭遇帶著道具的野生Pokemon。
ふくつのこころ,不屈之心,每當被對手引發「畏懼」反應，「速度」提升一階級。,
ふしぎなうろこ,神奇鱗片,當陷入「中毒」、「麻痺」、「燒傷」、「冰凍」、「睡眠」狀態時，「防禦」提升一階級。,
ふしぎなまもり,神奇守護,只會受到「效果絕佳」招式、天氣、狀態所造成的傷害。,
ふしょく,腐蝕,可使對手的「鋼」或「毒」系Pokemon陷入「中毒」狀態。,
ふみん,不眠,不會陷入「睡眠」狀態。,
ふゆう,飄浮,不會受到「地」屬性招式攻擊。不受「ありじごく」、「まきびし」、「どくびし」之效果影響。,
ぶきよう,笨拙,即使讓Pokemon攜帶可在戰鬥中發揮效果的道具也無法發生作用。,
へんげんじざい,變幻自如,自己使出任何招式前一刻，將自己的屬性變為該招式的屬性。,
へんしょく,變色,因招式而受到傷害時，變成該招式的屬性。,
ほうし,孢子,有10%機率使以直接攻擊招式擊中自己的對手陷入「中毒」、「麻痺」、「睡眠」的其中一種狀態。,
ほおぶくろ,頰囊,食用「果實」時除「果實」原本效果外，同時恢復3分之1的HP。,
ほのおのからだ,火焰之軀,有30%機率使以直接攻擊招式擊中自己的對手陷入「燒傷」狀態。,孵蛋所需步數減半。
ぼうおん,隔音,不會受到使用聲音的招式影響。,
ぼうじん,防塵,不會受到天氣為「すなあらし（沙塵）」或「あられ（冰雹）」時之傷害。「しびれごな」、「ねむりごな」、「どくのこな」、「キノコのほうし」、「わたほうし」、「いかりのこな」、「ふんじん」無效。,
ぼうだん,防彈,「爆彈類（ばくだん）」和「蛋類（たま）」攻擊招式無效化。,
まけんき,不服輸,因對手的招式或特性等，導致任一項能力降低時，「攻擊」提升兩階級。,
みずがため,遇水凝固,受到「水」屬性招式攻擊時，「防禦」提升兩階級。,
みずのベール,水幕,不會陷入「燒傷」狀態。,
みつあつめ,采蜜,在沒有攜帶道具的狀態下，戰鬥後有可能會收集到「あまいミツ」。隨等級提升，收集到的機率也會提高（即使沒有上場也會進行收集）。,
むしのしらせ,蟲之預感,HP低於3分之1時，「蟲」屬性招式的威力增加為1.5倍。,
めんえき,免疫,不會陷入「中毒」狀態。,
もうか,猛火,HP低於3分之1時，「火」屬性招式的威力增加為1.5倍。,
ものひろい,撿拾,每回合結束時，拾取對手所使用的道具（自己已攜帶道具則不會拾取）。,在未攜帶道具的狀態下，有時會在戰鬥後撿到道具。隨等級不同，撿到的東西也會有所變化。
もふもふ,毛茸茸,自己受到的直接攻擊招式威力減半。同時自己受到的「火」屬性攻擊招式威力增加為2倍。,
もらいび,引火,受到「火」屬性招式攻擊時發動。自己將不會受到傷害或效果影響，且自己的「火」屬性招式威力增加為1.5倍。,
やるき,幹勁,不會陷入「睡眠」狀態。,排在隊伍最前面時，遭遇高等級的野生Pokemon增加為1.5倍。
ゆうばく,引爆,因對手的直接攻擊招式而陷入「瀕死」狀態時，使對手受到其HP最大值4分之1的傷害。,
ゆきかき,撥雪,天氣為「あられ（冰雹）」狀態時，「速度」增加為2倍。,
ゆきがくれ,雪隱,天氣為「あられ（冰雹）」狀態時，對手招式命中率變成0.8倍，且自身也不會受到「あられ（冰雹）」造成的傷害。,排在隊伍最前面時，當原野天氣為「あられ（冰雹）」時遭遇野生的Pokemon減為0.5倍。
ゆきふらし,降雪,出場戰鬥後的5回合內，天氣為「あられ（冰雹）」狀態。,
ようりょくそ,葉綠素,天氣為「ひざしがつよい（晴天）」狀態時，「速度」增加為2倍。,
よちむ,預知夢,出場戰鬥時可得知對方的一個招式，以最高威力的傷害招式為優先。,
よびみず,引水,遭到「水」屬性招式攻擊時將不會受到傷害，且「特攻」提升一階級。,
よわき,軟弱,HP低於2分之1時，「攻擊」和「特攻」減半。,
りんぷん,鱗粉,不會受到招式的追加效果影響。,
わるいてぐせ,順手牽羊,在沒有攜帶道具的狀態下，在受到直接攻擊招式後獲得對方携帶的道具。,
アイスボディ,冰凍之軀,天氣為「あられ（冰雹）」狀態時，每回合結束時可恢復HP最大值的16分之1，且不會受到「あられ（冰雹）」的傷害。,
アナライズ,分析,回合最後行動時招式威力增加為1.3倍,
アロマベール,芳香幕,限制自己和同伴的招式效果無效化（「アンコール」、「いちゃもん」、「かいふくふうじ」、「かなしばり」、「ちょうはつ」、「メロメロ」等）。,
イリュージョン,幻覺,出場時以我方隊伍中最後一隻不處於瀕死狀態的Pokemon的外型和名稱出場，受到招式傷害時回復原貌。,
エアロック,氣閘,所有戰鬥中的Pokemon不受天氣影響。,
エレキスキン,電氣皮膚,自己「普」屬性招式威力增加為1.2倍，且變為「電」屬性。,
エレキメイカー,電氣製造者,出場戰鬥後5回合內，地形變為「電氣」狀態。接觸地面的Pokemon，會從「睡眠」狀態中恢復且不會陷入「睡眠」狀態。接觸地面的「電」系Pokemon，招式威力增加為1.5倍。「しぜんのちから」變為「１０まんボルト」。持有特性「サーフテール」的Pokemon「速度」提升為2倍。消耗持有的道具「エレキシード」並「防禦」上升一階級。,
オーラブレイク,氣場破壞,逆轉「へんげんじざい」和「ファーコート」的效果，降低對應的招式威力0.75倍。,
カブトアーマー,戰鬥盔甲,對手的招式將無法命中要害。,
カーリーヘアー,卷髮,以直接攻擊招式擊中自己的對手，「速度」降低一階級。,
クリアボディ,恒淨之軀,能力不會因對手的招式或特性而被降低。,
グラスメイカー,青草製造者,出場戰鬥後5回合內，地形變為「草原」狀態。接觸地面的Pokemon，每回合結束時可恢復HP最大值的16分之1，且「草」屬性招式威力增加為1.5倍。「しぜんのちから」變為「エナジーボール」。消耗持有的道具「グラスシード」並「防禦」上升一階級。,
サイコメイカー,精神製造者,出場戰鬥後5回合內，地形變為「精神」狀態。接觸地面的Pokemon，不受對方以自己為目標的「先制」招式影響。「しぜんのちから」變為「サイコキネシス」。消耗持有的道具「サイコシード」並「特防」上升一階級。,
サンパワー,太陽之力,天氣為「ひざしがつよい（晴天）」狀態時，「特攻」增加為1.5倍，但每個回合結束時將受到HP最大值8分之1的傷害。,
サーフテール,衝浪之尾,天氣為「あられ（冰雹）」狀態時，「速度」增加為2倍。,
シェルアーマー,硬殼盔甲,對手的招式將無法命中要害。,
シンクロ,同步,當陷入「中毒」、「麻痺」、「燒傷」狀態時，對手也會陷入相同狀態。,排在隊伍最前面時，遭遇性格相同的野生Pokemon減為0.5倍。
スイートベール,甜幕,自己與同伴Pokemon將不會陷入「睡眠」狀態。,
スカイスキン,飛行皮膚,自己使出的「普」屬性招式變成「飛」屬性，且威力也增加為1.2倍。,
スキルリンク,連續攻擊,連續攻擊招式之攻擊次數必定為上限制（使用二~五次的招式時必定為五次攻擊）。,
スナイパー,狙擊手,招式命中要害時，對手受到的傷害增加為2.25倍。,
スロースタート,慢啟動,「攻擊」及「速度」減半，出場或獲得此特性的5回合後解除。,
スワームチェンジ,群聚變形,HP低於2分之1時，變化為「完全」形態。,
ソウルハート,魂心,每當場上有Pokemon陷入「瀕死」狀態時，「特攻」提升一階級。,
ターボブレイズ,渦輪火焰,優先於其他特性發動，無視任何防禦或對自己能力有影響的特性，但對於不影響自己的特性則不發動。,
ダウンロード,下載,當對手的「防禦」<「特防」時，自已的「攻擊」提升一階級，當對手的「防禦」>=「特防」時，自己的「特攻」提升一階級。,
ダルマモード,達摩模式,回合結束時HP少於2分之1，形態發生改變。,
ダークオーラ,暗黑氣場,參加戰鬥的所有Pokemon，「惡」屬性招式威力增加為1.3倍。,
テクニシャン,技術高手,威力60或以下的招式，威力增加為1.5倍。威力會變動的招式，或是威力因招式效果而發生變動時也適用。,
テラボルテージ,兆級電壓,優先於其他特性發動，無視任何防禦或對自己能力有影響的特性，但對於不影響自己的特性則不發動。,
テレパシー,心靈感應,不會被同伴的招式傷害，但變化招式依然有效。,
デルタストリーム,德爾塔氣流,出場戰鬥後至自己被替換或「瀕死」為止，天氣為「らんきりゅう（亂流）」狀態，無法被其他天氣或特性改變。對「飛」系Pokemon有「效果絕佳」的招式，攻擊傷害減為0.5倍。,
トレース,複製,變成與對方相同的特性（替換後還原特性）。,
ナイトメア,夢魘,當對手陷入「睡眠」狀態時，每個回合結束時對手將受到HP最大值8分之1的傷害。,
ノーてんき,無關天氣,所有戰鬥中的Pokemon可不受天氣影響。,
ノーガード,無防守,彼此的攻擊必定會命中對方。,排在隊伍最前面時，遭遇野生的Pokemon增加為1.5倍。
ノーマルスキン,一般皮膚,自己所有招式的屬性都變成「普」。,
ハードロック,堅硬岩石,受到「效果絕佳」招式攻擊時的傷害減為0.75倍。,
バッテリー,蓄電池,同伴Pokemon「特殊」招式威力增加為1.3倍。,
バトルスイッチ,戰鬥切換,在盾形態時使用物理招式會變成劍形態，在劍形態時使用「キングシールド」則會轉換為盾形態。,
ヒーリングシフト,先行治療,自己使用回復招式時，先制+3。,
ビビッドボディ,鮮豔之軀,自己不會受到對手的先制招式攻擊。,
ビーストブースト,異獸提升,擊倒對手後，自己最高的能力提升一階段。,
ファントムガード,幻影防守,HP全滿的狀態下受到的招式傷害減少一半。,
ファーコート,毛皮大衣,因物理招式而受到的傷害減半。,
フィルター,過濾,受到「效果絕佳」招式攻擊時的傷害減為0.75倍。,
フェアリーオーラ,妖精氣場,參加戰鬥的所有Pokemon，「妖」屬性招式威力增加為1.3倍。,
フェアリースキン,妖精皮膚,自己使出的「普」屬性招式變成「妖」屬性，且威力也增加為1.2倍。,
フラワーギフト,花之禮,天氣為「ひざしがつよい（晴天）」狀態時，自己及同伴「攻擊」和「特防」增加為1.5倍，。,
フラワーベール,花幕,我方的「草」系Pokemon之能力不會遭到降低。,
フリーズスキン,冰凍皮膚,自己使出的「普」屬性招式變成「冰」屬性，且威力也增加為1.2倍。,
フレンドガード,友情防守,同伴受到的傷害減少4分之1。,
プラス,正電,在場上的我方Pokemon中具有「プラス」、「マイナス」特性時，「特攻」增加為1.5倍。,
プリズムアーマー,棱鏡裝甲,受到「效果絕佳」招式攻擊時的傷害減為0.75倍。,
プレッシャー,壓迫感,自己遭受招式攻擊時，使對方招式消耗的PP增加1。,排在隊伍最前面時，遭遇高等級的野生Pokemon增加為1.5倍。
ヘドロえき,汙泥漿,當對手使用會吸收HP的招式攻擊時，可以反過來使對手受傷。,
ヘヴィメタル,重金屬,自己的體重變為2倍。,
ポイズンヒール,毒療,當陷入「中毒」狀態時，每回合結束時可恢復HP最大值的8分之1。,
マイナス,負電,在場上的我方Pokemon中具有「プラス」、「マイナス」特性時，「特攻」增加為1.5倍。,
マイペース,我行我素,不會陷入「混亂」狀態。,
マグマのよろい,熔岩鎧甲,不會陷入「冰凍」狀態。,孵蛋所需步數減半。
マジシャン,魔術師,在沒有攜帶道具的狀態下，在使用攻擊招式後獲得對方携帶的道具。,
マジックガード,魔法防守,不會受到非直接攻擊的傷害，包括異常狀態（混亂除外）、撒菱、天氣、特性、道具、反作用力的傷害等。,
マジックミラー,魔法鏡,若本回合受到下降能力或異常狀態的變化招式，則一次性將此效果反彈給對手。,
マルチスケイル,多重鱗片,HP全滿的狀態下受到的招式傷害減少一半。,
マルチタイプ,多屬性,根據携帶的「石板」改變自己的屬性。,
ミイラ,木乃伊,使以直接攻擊招式擊中自己的對手特性變為「ミイラ」。,
ミストメイカー,薄霧製造者,出場戰鬥後5回合內，地形變為「薄霧」狀態。接觸地面的Pokemon，不會陷入異常狀態。自己及目標均為接觸地面的Pokemon時，「龍」屬性招式威力減為0.5倍。「しぜんのちから」變為「ムーンフォース」。消耗持有的道具「ミストシード」並「特防」上升一階級。,
ミラクルスキン,奇跡皮膚,對自己使用的變化招式命中率減為0.5倍。,
ムラっけ,心情不定,回合結束時隨機一項能力提升兩階級，另一項降低一階級（包括命中率和回避率）。,
メガランチャー,超級發射器,「みずのはどう」、「りゅうのはどう」、「あくのはどう」、「はどうだん」之威力增加為1.5倍。「いやしのはどう」可恢復HP最大值的4分之3。,
メタルプロテクト,金屬防護,能力不會因對手的招式或特性而被降低。,
メロメロボディ,迷人之軀,有30%機率使以直接攻擊招式擊中自己的對手陷入「迷惑」狀態。,排在隊伍最前面時，遭遇異性野生Pokemon的機會增加為1.3倍。
ヨガパワー,瑜伽之力,物理攻擊招式的威力增加為2倍。,
ライトメタル,輕金屬,自己的體重減半。,
リミットシールド,界限盾殼,HP低於2分之1時，變成「核心」形態。轉換形態前不會陷入異常狀態。,
リーフガード,葉子防守,天氣為「ひざしがつよい（晴天）」狀態時，不會陷入異常狀態。,
レシーバー,接球手,複製被擊倒的同伴的特性，變成自己的特性。,
ＡＲシステム,ＡＲ系統,根據携帶的「存儲碟」改變自己的屬性。,
